cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
16,Cuenca,2014,54.3,28.002499999999998,39.09,4
16,Cuenca,2015,53.37,22.615000000000002,41.3025,4
16,Cuenca,2016,56.36,18.015,46.2075,4
16,Cuenca,2017,55.4125,15.9025,46.5875,4
16,Cuenca,2018,55.1875,15.4,46.699999999999996,4
16,Cuenca,2019,56.245000000000005,13.065,48.894999999999996,4
16,Cuenca,2020,54.3525,15.6525,45.8475,4
16,Cuenca,2021,54.6225,12.1075,48.0275,4
16,Cuenca,2022,55.2175,9.6075,49.91,4
16,Cuenca,2023,55.5475,11.4075,49.22,4
16,Cuenca,2024,57.2575,10.495,51.215,4
16,Cuenca,2025,55.8025,10.4175,49.9575,4
16,Cuenca,2026,54.56,12.57,47.7,1
17,Girona,2002,61.05,8.675,55.7675,4
17,Girona,2003,63.2,10.39,56.635,4
17,Girona,2004,65.5275,8.6875,59.8575,4
17,Girona,2005,65.3375,7.3225,60.555,4
17,Girona,2006,65.4625,6.3774999999999995,61.295,4
17,Girona,2007,65.155,7.9625,59.97,4
17,Girona,2008,65.64,10.96,58.445,4
17,Girona,2009,65.0825,18.005,53.3675,4
17,Girona,2010,65.6025,17.857499999999998,53.8975,4
17,Girona,2011,65.3975,21.7025,51.215,4
17,Girona,2012,64.9725,24.2075,49.2425,4
17,Girona,2013,64.7975,22.985,49.9225,4
17,Girona,2014,64.8075,22.53,50.2175,4
17,Girona,2015,63.4325,19.7225,50.917500000000004,4
17,Girona,2016,62.4525,16.14,52.375,4
17,Girona,2017,62.475,13.9625,53.7675,4
17,Girona,2018,62.38,11.3975,55.29,4
17,Girona,2019,62.9775,10.3325,56.4775,4
17,Girona,2020,61.1675,12.6025,53.47,4
17,Girona,2021,62.41,12.975,54.3225,4
17,Girona,2022,62.6025,8.9575,56.9975,4
17,Girona,2023,61.025,9.9575,54.9475,4
17,Girona,2024,61.1825,9.467500000000001,55.3875,4
17,Girona,2025,61.3875,8.3725,56.255,4
17,Girona,2026,61.11,12.5,53.47,1
18,Granada,2002,49.9525,19.675,40.125,4
18,Granada,2003,51.6525,17.8375,42.435,4
18,Granada,2004,50.042500000000004,13.3775,43.305,4
18,Granada,2005,51.4375,13.1175,44.69,4
18,Granada,2006,53.455,10.985,47.582499999999996,4
18,Granada,2007,54.5025,11.8825,48.0175,4
18,Granada,2008,56.3225,19.3275,45.435,4
18,Granada,2009,56.582499999999996,26.2225,41.7425,4
18,Granada,2010,56.760000000000005,28.735,40.455,4
18,Granada,2011,56.6625,29.122500000000002,40.1575,4
18,Granada,2012,57.9325,35.5875,37.29,4
18,Granada,2013,58.760000000000005,37.035,36.995,4
18,Granada,2014,58.8725,35.915,37.7275,4
18,Granada,2015,58.44,30.942500000000003,40.3475,4
18,Granada,2016,58.667500000000004,29.9375,41.095,4
18,Granada,2017,58.2225,25.7725,43.22,4
18,Granada,2018,56.91,23.997500000000002,43.25,4
18,Granada,2019,56.144999999999996,22.21,43.665,4
18,Granada,2020,53.925000000000004,23.775,41.11,4
