Provincias;Tasas;Sexo;Periodo;Total
40 Segovia;Tasa de empleo de la población;Ambos sexos;2012T4;45,97
40 Segovia;Tasa de empleo de la población;Ambos sexos;2012T3;47,95
40 Segovia;Tasa de empleo de la población;Ambos sexos;2012T2;45,64
40 Segovia;Tasa de empleo de la población;Ambos sexos;2012T1;46,37
40 Segovia;Tasa de empleo de la población;Ambos sexos;2011T4;48,93
40 Segovia;Tasa de empleo de la población;Ambos sexos;2011T3;49,48
40 Segovia;Tasa de empleo de la población;Ambos sexos;2011T2;50,25
40 Segovia;Tasa de empleo de la población;Ambos sexos;2011T1;50,26
40 Segovia;Tasa de empleo de la población;Ambos sexos;2010T4;51,35
40 Segovia;Tasa de empleo de la población;Ambos sexos;2010T3;52,42
40 Segovia;Tasa de empleo de la población;Ambos sexos;2010T2;50,03
40 Segovia;Tasa de empleo de la población;Ambos sexos;2010T1;51,31
40 Segovia;Tasa de empleo de la población;Ambos sexos;2009T4;50,88
40 Segovia;Tasa de empleo de la población;Ambos sexos;2009T3;51,18
40 Segovia;Tasa de empleo de la población;Ambos sexos;2009T2;50,05
40 Segovia;Tasa de empleo de la población;Ambos sexos;2009T1;49,02
40 Segovia;Tasa de empleo de la población;Ambos sexos;2008T4;52,91
40 Segovia;Tasa de empleo de la población;Ambos sexos;2008T3;55,13
40 Segovia;Tasa de empleo de la población;Ambos sexos;2008T2;51,45
40 Segovia;Tasa de empleo de la población;Ambos sexos;2008T1;49,34
40 Segovia;Tasa de empleo de la población;Ambos sexos;2007T4;52,59
40 Segovia;Tasa de empleo de la población;Ambos sexos;2007T3;53,05
40 Segovia;Tasa de empleo de la población;Ambos sexos;2007T2;52,88
40 Segovia;Tasa de empleo de la población;Ambos sexos;2007T1;53,85
40 Segovia;Tasa de empleo de la población;Ambos sexos;2006T4;53,76
40 Segovia;Tasa de empleo de la población;Ambos sexos;2006T3;53,38
40 Segovia;Tasa de empleo de la población;Ambos sexos;2006T2;51,91
40 Segovia;Tasa de empleo de la población;Ambos sexos;2006T1;52,77
40 Segovia;Tasa de empleo de la población;Ambos sexos;2005T4;54,23
40 Segovia;Tasa de empleo de la población;Ambos sexos;2005T3;52,76
40 Segovia;Tasa de empleo de la población;Ambos sexos;2005T2;51,88
40 Segovia;Tasa de empleo de la población;Ambos sexos;2005T1;51,41
40 Segovia;Tasa de empleo de la población;Ambos sexos;2004T4;52,93
40 Segovia;Tasa de empleo de la población;Ambos sexos;2004T3;53,69
40 Segovia;Tasa de empleo de la población;Ambos sexos;2004T2;49,19
40 Segovia;Tasa de empleo de la población;Ambos sexos;2004T1;48,67
40 Segovia;Tasa de empleo de la población;Ambos sexos;2003T4;49,58
40 Segovia;Tasa de empleo de la población;Ambos sexos;2003T3;50,66
40 Segovia;Tasa de empleo de la población;Ambos sexos;2003T2;46,70
40 Segovia;Tasa de empleo de la población;Ambos sexos;2003T1;46,59
40 Segovia;Tasa de empleo de la población;Ambos sexos;2002T4;45,93
40 Segovia;Tasa de empleo de la población;Ambos sexos;2002T3;47,21
40 Segovia;Tasa de empleo de la población;Ambos sexos;2002T2;47,29
40 Segovia;Tasa de empleo de la población;Ambos sexos;2002T1;46,38
41 Sevilla;Tasa de actividad;Ambos sexos;2026T1;57,53
41 Sevilla;Tasa de actividad;Ambos sexos;2025T4;58,67
41 Sevilla;Tasa de actividad;Ambos sexos;2025T3;58,47
41 Sevilla;Tasa de actividad;Ambos sexos;2025T2;57,46
41 Sevilla;Tasa de actividad;Ambos sexos;2025T1;57,01
41 Sevilla;Tasa de actividad;Ambos sexos;2024T4;58,21
41 Sevilla;Tasa de actividad;Ambos sexos;2024T3;57,98
41 Sevilla;Tasa de actividad;Ambos sexos;2024T2;57,82
41 Sevilla;Tasa de actividad;Ambos sexos;2024T1;56,35
41 Sevilla;Tasa de actividad;Ambos sexos;2023T4;58,09
41 Sevilla;Tasa de actividad;Ambos sexos;2023T3;57,62
41 Sevilla;Tasa de actividad;Ambos sexos;2023T2;58,02
41 Sevilla;Tasa de actividad;Ambos sexos;2023T1;58,58
41 Sevilla;Tasa de actividad;Ambos sexos;2022T4;57,86
41 Sevilla;Tasa de actividad;Ambos sexos;2022T3;59,05
